sample_name	sample_alias-ccle	sample_alias-sanger	primary_site	tumor_type	tumor_type_refined	sanger_cancer_type	sanger_cancer_type_detail
ACH-000270	HPAC_PANCREAS	SIDM00670	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000277	HCC1419_BREAST	SIDM00882	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000282	NCIH1755_LUNG	SIDM00738	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000288	BT549_BREAST	SIDM00122	Breast	breast	breast	Breast Carcinoma	Invasive Ductal Carcinoma not Otherwise Specified
ACH-000290	NCIH209_LUNG	SIDM00706	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000291	OV90_OVARY	SIDM01141	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Adenocarcinoma
ACH-000292	NCIH841_LUNG	SIDM01134	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000303	SNU5_STOMACH	SIDM01144	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Carcinoma
ACH-000304	WM115_SKIN	SIDM01000	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000305	ECGI10_OESOPHAGUS	SIDM00278	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000308	EFO21_OVARY	SIDM01052	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Cystadenocarcinoma
ACH-000309	SKLU1_LUNG	SIDM01108	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000311	NCIH2122_LUNG	SIDM00702	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000319	MPP89_PLEURA	SIDM00222	Pleura	mesothelioma	mesothelioma	Mesothelioma	Pleural Epithelioid Mesothelioma
ACH-000320	PSN1_PANCREAS	SIDM00469	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000322	HT144_SKIN	SIDM00695	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000329	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	SIDM00131	Central_Nervous_System	glioma	glioma	Glioma	Astrocytoma
ACH-000330	EFM19_BREAST	SIDM01056	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000335	MSTO211H_PLEURA	SIDM00640	Pleura	mesothelioma	mesothelioma	Mesothelioma	Pleural Biphasic Mesothelioma
ACH-000341	SKNFI_AUTONOMIC_GANGLIA	SIDM01099	Autonomic_Ganglia	neuroblastoma	neuroblastoma	Neuroblastoma	Neuroblastoma
ACH-000343	NCIH522_LUNG	SIDM00116	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000347	QGP1_PANCREAS	SIDM00360	Pancreas	pancreas	pancreas	Other Solid Carcinomas	Pancreatic Somatostatinoma
ACH-000348	RPMI7951_SKIN	SIDM01087	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000349	HCC1500_BREAST	SIDM00879	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000351	MKN1_STOMACH	SIDM00271	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenosquamous Carcinoma
ACH-000353	TE15_OESOPHAGUS	SIDM00249	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000354	CAPAN1_PANCREAS	SIDM00934	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000355	NCIH82_LUNG	SIDM01131	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000356	MKN45_STOMACH	SIDM00247	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000358	NCIH69_LUNG	SIDM01121	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000359	MG63_BONE	SIDM00525	Bone	osteosarcoma	osteosarcoma	Osteosarcoma	Osteosarcoma
ACH-000360	NCIH508_LARGE_INTESTINE	SIDM00777	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Cecum Adenocarcinoma
ACH-000361	SKHEP1_LIVER	SIDM01110	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000364	U2OS_BONE	SIDM01191	Bone	osteosarcoma	osteosarcoma	Osteosarcoma	Osteosarcoma
ACH-000366	SKNDZ_AUTONOMIC_GANGLIA	SIDM01100	Autonomic_Ganglia	neuroblastoma	neuroblastoma	Neuroblastoma	Neuroblastoma
ACH-000376	SF295_CENTRAL_NERVOUS_SYSTEM	SIDM00084	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000378	NCIH647_LUNG	SIDM01125	Lung	lung_NSC	lung_NSC	Other Solid Carcinomas	Adenosquamous Lung Carcinoma
ACH-000379	NCIH1781_LUNG	SIDM00754	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Bronchiolo-Alveolar Lung Carcinoma
ACH-000383	OE33_OESOPHAGUS	SIDM00477	Oesophagus	esophagus	esophagus	Esophageal Carcinoma	Barrett s Adenocarcinoma
ACH-000384	SW780_URINARY_TRACT	SIDM01160	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000389	H4_CENTRAL_NERVOUS_SYSTEM	SIDM00852	Central_Nervous_System	glioma	glioma	Glioma	Astrocytoma
ACH-000391	MHHES1_BONE	SIDM00386	Bone	Ewings_Sarcoma	Ewings_sarcoma	Ewing's Sarcoma	Ewing's Sarcoma
ACH-000392	CALU3_LUNG	SIDM00922	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000394	NCIH2081_LUNG	SIDM00710	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000395	NCIH520_LUNG	SIDM01130	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000396	J82_URINARY_TRACT	SIDM00693	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000399	NCIH2196_LUNG	SIDM00731	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000400	SKCO1_LARGE_INTESTINE	SIDM01096	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000401	COLO800_SKIN	SIDM00515	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000403	NCIH747_LARGE_INTESTINE	SIDM00778	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Cecum Adenocarcinoma
ACH-000416	NCIH838_LUNG	SIDM01150	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000417	PANC0813_PANCREAS	SIDM01136	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000420	SNU449_LIVER	SIDM01194	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000423	SKMEL3_SKIN	SIDM01105	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000424	TC71_BONE	SIDM00419	Bone	Ewings_Sarcoma	Ewings_sarcoma	Ewing's Sarcoma	Ewing's Sarcoma
ACH-000425	UACC62_SKIN	SIDM00107	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000427	NCIN87_STOMACH	SIDM01147	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Tubular Adenocarcinoma
ACH-000428	UO31_KIDNEY	SIDM00112	Kidney	kidney	kidney	Kidney Carcinoma	Renal Cell Carcinoma
ACH-000429	A704_KIDNEY	SIDM00849	Kidney	kidney	kidney	Kidney Carcinoma	Renal Cell Carcinoma
ACH-000430	TYKNU_OVARY	SIDM00321	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000431	NCIH1694_LUNG	SIDM00741	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000433	CAKI1_KIDNEY	SIDM00941	Kidney	kidney	kidney	Kidney Carcinoma	Clear Cell Renal Cell Carcinoma
ACH-000437	SW1088_CENTRAL_NERVOUS_SYSTEM	SIDM01155	Central_Nervous_System	glioma	glioma	Glioma	Astrocytoma
ACH-000438	LU65_LUNG	SIDM00547	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Giant Cell Lung Carcinoma
ACH-000441	SH4_SKIN	SIDM01079	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000442	RERFLCSQ1_LUNG	SIDM00354	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
