case	comparison	snf_fda-cgc
ACH-000012	ACH-000148	0.980729645
ACH-000012	ACH-000149	0.978678319
ACH-000012	ACH-000159	0.98156632
ACH-000012	ACH-000161	0.981129729
ACH-000012	ACH-000171	0.980545154
ACH-000012	ACH-000174	0.98084168
ACH-000012	ACH-000176	0.980591774
ACH-000012	ACH-000181	0.981100574
ACH-000015	ACH-000001	0.980714209
ACH-000015	ACH-000007	0.981277876
ACH-000015	ACH-000008	0.981569878
ACH-000015	ACH-000009	0.979920485
ACH-000015	ACH-000012	0.981102855
ACH-000015	ACH-000015	0.428451128
ACH-000015	ACH-000023	0.980838755
ACH-000015	ACH-000030	0.981392027
ACH-000015	ACH-000035	0.979979027
ACH-000015	ACH-000040	0.980875998
ACH-000015	ACH-000042	0.980085666
ACH-000015	ACH-000047	0.980527346
ACH-000015	ACH-000052	0.981134339
ACH-000015	ACH-000055	0.980819825
ACH-000015	ACH-000062	0.981602703
ACH-000015	ACH-000067	0.981123816
ACH-000015	ACH-000078	0.980516214
ACH-000015	ACH-000082	0.980371379
ACH-000015	ACH-000087	0.980054142
ACH-000015	ACH-000092	0.979741092
ACH-000015	ACH-000094	0.980375132
ACH-000015	ACH-000098	0.979755683
ACH-000015	ACH-000099	0.981475826
ACH-000015	ACH-000100	0.979676132
ACH-000015	ACH-000102	0.980788
ACH-000015	ACH-000103	0.980371119
ACH-000015	ACH-000107	0.980751604
ACH-000015	ACH-000109	0.981241821
ACH-000015	ACH-000111	0.980112889
ACH-000015	ACH-000114	0.980376521
ACH-000015	ACH-000115	0.979769942
ACH-000015	ACH-000117	0.981183426
ACH-000015	ACH-000121	0.979981207
ACH-000015	ACH-000129	0.981183573
ACH-000015	ACH-000132	0.980356094
ACH-000015	ACH-000138	0.981064081
ACH-000015	ACH-000139	0.981583604
ACH-000015	ACH-000142	0.981556108
ACH-000015	ACH-000144	0.980474723
ACH-000015	ACH-000145	0.98006681
ACH-000015	ACH-000147	0.980502371
ACH-000015	ACH-000148	0.979296185
ACH-000015	ACH-000149	0.980841904
ACH-000015	ACH-000159	0.980670471
ACH-000015	ACH-000161	0.981282286
ACH-000015	ACH-000171	0.980747935
ACH-000015	ACH-000174	0.979826506
ACH-000015	ACH-000176	0.981208011
ACH-000015	ACH-000181	0.980168586
ACH-000023	ACH-000001	0.980444164
ACH-000023	ACH-000007	0.980231562
ACH-000023	ACH-000008	0.980620836
ACH-000023	ACH-000009	0.980626851
ACH-000023	ACH-000012	0.980662212
ACH-000023	ACH-000015	0.980838755
ACH-000023	ACH-000023	0.426778645
ACH-000023	ACH-000030	0.980695507
ACH-000023	ACH-000035	0.980276966
ACH-000023	ACH-000040	0.98038845
ACH-000023	ACH-000042	0.980226663
ACH-000023	ACH-000047	0.978731187
ACH-000023	ACH-000052	0.980713251
ACH-000023	ACH-000055	0.980950236
ACH-000023	ACH-000062	0.978369381
ACH-000023	ACH-000067	0.981082763
ACH-000023	ACH-000078	0.980824226
ACH-000023	ACH-000082	0.980320661
ACH-000023	ACH-000087	0.981337504
ACH-000023	ACH-000092	0.980973377
ACH-000023	ACH-000094	0.981136272
ACH-000023	ACH-000098	0.980612369
ACH-000023	ACH-000099	0.980724887
ACH-000023	ACH-000100	0.980596012
ACH-000023	ACH-000102	0.9807903
ACH-000023	ACH-000103	0.980877906
ACH-000023	ACH-000107	0.981116136
ACH-000023	ACH-000109	0.98073958
ACH-000023	ACH-000111	0.980887177
ACH-000023	ACH-000114	0.980725741
ACH-000023	ACH-000115	0.980925699
ACH-000023	ACH-000117	0.980778477
ACH-000023	ACH-000121	0.980607892
ACH-000023	ACH-000129	0.981322845
ACH-000023	ACH-000132	0.981165214
ACH-000023	ACH-000138	0.980837366
ACH-000023	ACH-000139	0.980158434
ACH-000023	ACH-000142	0.981053462
ACH-000023	ACH-000144	0.980473823
ACH-000023	ACH-000145	0.98075839
ACH-000023	ACH-000147	0.980472617
ACH-000023	ACH-000148	0.980932339
ACH-000023	ACH-000149	0.98028618
ACH-000023	ACH-000159	0.98090686
ACH-000023	ACH-000161	0.980958923
ACH-000023	ACH-000171	0.980893153
ACH-000023	ACH-000174	0.9809407
ACH-000023	ACH-000176	0.981022219
ACH-000023	ACH-000181	0.980558938
ACH-000030	ACH-000001	0.980981392
ACH-000030	ACH-000007	0.979909105
ACH-000030	ACH-000008	0.98032088
ACH-000030	ACH-000009	0.981522696
ACH-000030	ACH-000012	0.980040505
ACH-000030	ACH-000015	0.981392027
ACH-000030	ACH-000023	0.980695507
ACH-000030	ACH-000030	0.428523786
ACH-000030	ACH-000035	0.979624158
ACH-000030	ACH-000040	0.981107013
