case	comparison	jaccard-almanac-genes
ACH-000067	ACH-000007	0.933333333
ACH-000067	ACH-000008	0.916666667
ACH-000067	ACH-000009	0.875
ACH-000067	ACH-000012	0.8
ACH-000067	ACH-000015	0.866666667
ACH-000067	ACH-000023	0.9
ACH-000067	ACH-000030	0.777777778
ACH-000067	ACH-000035	0.714285714
ACH-000067	ACH-000040	0.625
ACH-000067	ACH-000042	0.947368421
ACH-000067	ACH-000047	0.9
ACH-000067	ACH-000052	0.833333333
ACH-000067	ACH-000055	0.818181818
ACH-000067	ACH-000062	0.875
ACH-000067	ACH-000067	0
ACH-000067	ACH-000078	1
ACH-000067	ACH-000082	0.875
ACH-000067	ACH-000087	0.777777778
ACH-000067	ACH-000092	0.909090909
ACH-000067	ACH-000094	0.9375
ACH-000067	ACH-000098	0.555555556
ACH-000067	ACH-000099	1
ACH-000067	ACH-000100	0.888888889
ACH-000067	ACH-000102	0.875
ACH-000067	ACH-000103	0.875
ACH-000067	ACH-000107	1
ACH-000067	ACH-000109	0.769230769
ACH-000067	ACH-000111	0.857142857
ACH-000067	ACH-000114	0.75
ACH-000067	ACH-000115	0.923076923
ACH-000067	ACH-000117	0.857142857
ACH-000067	ACH-000121	0.846153846
ACH-000067	ACH-000129	1
ACH-000067	ACH-000132	0.866666667
ACH-000067	ACH-000138	0.9375
ACH-000067	ACH-000139	0.923076923
ACH-000067	ACH-000142	0.8
ACH-000067	ACH-000144	0.727272727
ACH-000067	ACH-000145	0.714285714
ACH-000067	ACH-000147	0.875
ACH-000067	ACH-000148	0.714285714
ACH-000067	ACH-000149	0.916666667
ACH-000067	ACH-000159	0.909090909
ACH-000067	ACH-000161	0.875
ACH-000067	ACH-000171	0.833333333
ACH-000067	ACH-000174	0.777777778
ACH-000067	ACH-000176	0.75
ACH-000067	ACH-000181	0.875
ACH-000078	ACH-000001	0.846153846
ACH-000078	ACH-000007	1
ACH-000078	ACH-000008	1
ACH-000078	ACH-000009	0.928571429
ACH-000078	ACH-000012	0.875
ACH-000078	ACH-000015	0.923076923
ACH-000078	ACH-000023	1
ACH-000078	ACH-000030	1
ACH-000078	ACH-000035	1
ACH-000078	ACH-000040	1
ACH-000078	ACH-000042	0.9375
ACH-000078	ACH-000047	0.857142857
ACH-000078	ACH-000052	0.9
ACH-000078	ACH-000055	1
ACH-000078	ACH-000062	1
ACH-000078	ACH-000067	1
ACH-000078	ACH-000078	0
ACH-000078	ACH-000082	0.928571429
ACH-000078	ACH-000087	0.857142857
ACH-000078	ACH-000092	1
ACH-000078	ACH-000094	0.923076923
ACH-000078	ACH-000098	1
ACH-000078	ACH-000099	0.857142857
ACH-000078	ACH-000100	1
ACH-000078	ACH-000102	1
ACH-000078	ACH-000103	1
ACH-000078	ACH-000107	1
ACH-000078	ACH-000109	1
ACH-000078	ACH-000111	1
ACH-000078	ACH-000114	1
ACH-000078	ACH-000115	1
ACH-000078	ACH-000117	0.916666667
ACH-000078	ACH-000121	0.909090909
ACH-000078	ACH-000129	1
ACH-000078	ACH-000132	1
ACH-000078	ACH-000138	0.833333333
ACH-000078	ACH-000139	1
ACH-000078	ACH-000142	1
ACH-000078	ACH-000144	1
ACH-000078	ACH-000145	1
ACH-000078	ACH-000147	0.8
ACH-000078	ACH-000148	1
ACH-000078	ACH-000149	1
ACH-000078	ACH-000159	1
ACH-000078	ACH-000161	0.928571429
ACH-000078	ACH-000171	0.941176471
ACH-000078	ACH-000174	1
ACH-000078	ACH-000176	1
ACH-000078	ACH-000181	1
ACH-000082	ACH-000001	0.8
ACH-000082	ACH-000007	1
ACH-000082	ACH-000008	0.944444444
ACH-000082	ACH-000009	0.736842105
ACH-000082	ACH-000012	0.714285714
ACH-000082	ACH-000015	0.722222222
ACH-000082	ACH-000023	0.866666667
ACH-000082	ACH-000030	0.866666667
ACH-000082	ACH-000035	0.736842105
ACH-000082	ACH-000040	0.866666667
ACH-000082	ACH-000042	0.7
ACH-000082	ACH-000047	0.785714286
ACH-000082	ACH-000052	0.823529412
ACH-000082	ACH-000055	0.882352941
ACH-000082	ACH-000062	0.928571429
ACH-000082	ACH-000067	0.875
ACH-000082	ACH-000078	0.928571429
ACH-000082	ACH-000082	0
ACH-000082	ACH-000087	0.785714286
ACH-000082	ACH-000092	0.875
ACH-000082	ACH-000094	0.722222222
ACH-000082	ACH-000098	0.8125
ACH-000082	ACH-000099	1
ACH-000082	ACH-000100	0.857142857
ACH-000082	ACH-000102	0.928571429
ACH-000082	ACH-000103	0.75
ACH-000082	ACH-000107	1
ACH-000082	ACH-000109	0.777777778
ACH-000082	ACH-000111	0.923076923
ACH-000082	ACH-000114	0.769230769
ACH-000082	ACH-000115	0.75
ACH-000082	ACH-000117	0.625
ACH-000082	ACH-000121	0.833333333
ACH-000082	ACH-000129	0.857142857
ACH-000082	ACH-000132	0.647058824
ACH-000082	ACH-000138	0.722222222
ACH-000082	ACH-000139	0.888888889
ACH-000082	ACH-000142	0.714285714
ACH-000082	ACH-000144	0.75
ACH-000082	ACH-000145	0.846153846
ACH-000082	ACH-000147	0.846153846
ACH-000082	ACH-000148	0.75
ACH-000082	ACH-000149	0.944444444
ACH-000082	ACH-000159	0.875
ACH-000082	ACH-000161	0.666666667
ACH-000082	ACH-000171	0.772727273
ACH-000082	ACH-000174	0.785714286
ACH-000082	ACH-000176	0.764705882
ACH-000082	ACH-000181	0.928571429
ACH-000087	ACH-000001	0.785714286
ACH-000087	ACH-000007	1
ACH-000087	ACH-000008	0.909090909
ACH-000087	ACH-000009	0.866666667
ACH-000087	ACH-000012	0.777777778
ACH-000087	ACH-000015	0.933333333
ACH-000087	ACH-000023	0.888888889
ACH-000087	ACH-000030	0.888888889
ACH-000087	ACH-000035	0.866666667
ACH-000087	ACH-000040	0.75
ACH-000087	ACH-000042	0.944444444
ACH-000087	ACH-000047	0.75
ACH-000087	ACH-000052	0.555555556
ACH-000087	ACH-000055	0.909090909
ACH-000087	ACH-000062	0.857142857
ACH-000087	ACH-000067	0.777777778
ACH-000087	ACH-000078	0.857142857
ACH-000087	ACH-000082	0.785714286
ACH-000087	ACH-000087	0
ACH-000087	ACH-000092	0.9
ACH-000087	ACH-000094	0.933333333
ACH-000087	ACH-000098	0.8
ACH-000087	ACH-000099	1
ACH-000087	ACH-000100	0.875
ACH-000087	ACH-000102	0.857142857
ACH-000087	ACH-000103	0.857142857
ACH-000087	ACH-000107	1
ACH-000087	ACH-000109	0.846153846
ACH-000087	ACH-000111	0.833333333
ACH-000087	ACH-000114	0.714285714
ACH-000087	ACH-000115	0.916666667
ACH-000087	ACH-000117	0.75
ACH-000087	ACH-000121	0.833333333
ACH-000087	ACH-000129	1
ACH-000087	ACH-000132	0.769230769
ACH-000087	ACH-000138	0.857142857
ACH-000087	ACH-000139	0.916666667
ACH-000087	ACH-000142	0.777777778
ACH-000087	ACH-000144	0.818181818
ACH-000087	ACH-000145	0.666666667
ACH-000087	ACH-000147	0.857142857
ACH-000087	ACH-000148	0.666666667
ACH-000087	ACH-000149	1
ACH-000087	ACH-000159	0.9
ACH-000087	ACH-000161	0.866666667
ACH-000087	ACH-000171	0.823529412
ACH-000087	ACH-000174	0.75
ACH-000087	ACH-000176	0.833333333
ACH-000087	ACH-000181	0.857142857
ACH-000092	ACH-000001	0.941176471
ACH-000092	ACH-000007	0.857142857
ACH-000092	ACH-000008	0.916666667
ACH-000092	ACH-000009	0.875
ACH-000092	ACH-000012	1
ACH-000092	ACH-000015	0.9375
ACH-000092	ACH-000023	1
ACH-000092	ACH-000030	0.9
ACH-000092	ACH-000035	0.8
ACH-000092	ACH-000040	0.9
ACH-000092	ACH-000042	0.823529412
ACH-000092	ACH-000047	1
ACH-000092	ACH-000052	0.833333333
ACH-000092	ACH-000055	1
ACH-000092	ACH-000062	1
ACH-000092	ACH-000067	0.909090909
ACH-000092	ACH-000078	1
ACH-000092	ACH-000082	0.875
ACH-000092	ACH-000087	0.9
ACH-000092	ACH-000092	0
ACH-000092	ACH-000094	1
ACH-000092	ACH-000098	0.916666667
ACH-000092	ACH-000099	0.777777778
ACH-000092	ACH-000100	1
ACH-000092	ACH-000102	1
ACH-000092	ACH-000103	1
ACH-000092	ACH-000107	1
ACH-000092	ACH-000109	0.857142857
ACH-000092	ACH-000111	1
ACH-000092	ACH-000114	0.888888889
ACH-000092	ACH-000115	0.923076923
ACH-000092	ACH-000117	0.933333333
ACH-000092	ACH-000121	0.846153846
ACH-000092	ACH-000129	1
ACH-000092	ACH-000132	0.866666667
ACH-000092	ACH-000138	0.866666667
ACH-000092	ACH-000139	0.923076923
ACH-000092	ACH-000142	0.909090909
ACH-000092	ACH-000144	0.833333333
ACH-000092	ACH-000145	0.875
ACH-000092	ACH-000147	1
ACH-000092	ACH-000148	0.875
ACH-000092	ACH-000149	0.7
ACH-000092	ACH-000159	0.8
ACH-000092	ACH-000161	0.875
ACH-000092	ACH-000171	0.764705882
ACH-000092	ACH-000174	0.9
ACH-000092	ACH-000176	0.928571429
ACH-000092	ACH-000181	0.875
ACH-000094	ACH-000001	0.85
ACH-000094	ACH-000007	0.894736842
ACH-000094	ACH-000008	1
ACH-000094	ACH-000009	0.85
ACH-000094	ACH-000012	0.866666667
ACH-000094	ACH-000015	0.9
ACH-000094	ACH-000023	0.857142857
ACH-000094	ACH-000030	0.933333333
ACH-000094	ACH-000035	0.789473684
ACH-000094	ACH-000040	0.933333333
ACH-000094	ACH-000042	0.863636364
ACH-000094	ACH-000047	0.933333333
ACH-000094	ACH-000052	0.944444444
ACH-000094	ACH-000055	0.941176471
ACH-000094	ACH-000062	0.923076923
ACH-000094	ACH-000067	0.9375
ACH-000094	ACH-000078	0.923076923
ACH-000094	ACH-000082	0.722222222
ACH-000094	ACH-000087	0.933333333
ACH-000094	ACH-000092	1
ACH-000094	ACH-000094	0
ACH-000094	ACH-000098	0.875
ACH-000094	ACH-000099	0.933333333
ACH-000094	ACH-000100	0.75
ACH-000094	ACH-000102	0.923076923
ACH-000094	ACH-000103	0.923076923
ACH-000094	ACH-000107	0.928571429
ACH-000094	ACH-000109	0.894736842
ACH-000094	ACH-000111	0.916666667
ACH-000094	ACH-000114	0.75
ACH-000094	ACH-000115	0.944444444
ACH-000094	ACH-000117	0.833333333
ACH-000094	ACH-000121	0.888888889
ACH-000094	ACH-000129	0.928571429
ACH-000094	ACH-000132	0.842105263
ACH-000094	ACH-000138	0.842105263
ACH-000094	ACH-000139	0.882352941
ACH-000094	ACH-000142	0.692307692
ACH-000094	ACH-000144	0.882352941
ACH-000094	ACH-000145	0.923076923
ACH-000094	ACH-000147	0.727272727
ACH-000094	ACH-000148	0.923076923
ACH-000094	ACH-000149	1
ACH-000094	ACH-000159	0.9375
ACH-000094	ACH-000161	0.85
ACH-000094	ACH-000171	0.869565217
ACH-000094	ACH-000174	0.666666667
ACH-000094	ACH-000176	0.75
ACH-000094	ACH-000181	0.923076923
ACH-000098	ACH-000001	0.944444444
ACH-000098	ACH-000007	0.9375
ACH-000098	ACH-000008	0.833333333
ACH-000098	ACH-000009	0.882352941
ACH-000098	ACH-000012	0.818181818
ACH-000098	ACH-000015	0.875
ACH-000098	ACH-000023	0.909090909
ACH-000098	ACH-000030	0.8
ACH-000098	ACH-000035	0.733333333
ACH-000098	ACH-000040	0.8
ACH-000098	ACH-000042	0.894736842
ACH-000098	ACH-000047	0.909090909
ACH-000098	ACH-000052	0.846153846
ACH-000098	ACH-000055	0.833333333
ACH-000098	ACH-000062	0.888888889
ACH-000098	ACH-000067	0.555555556
ACH-000098	ACH-000078	1
ACH-000098	ACH-000082	0.8125
ACH-000098	ACH-000087	0.8
ACH-000098	ACH-000092	0.916666667
ACH-000098	ACH-000094	0.875
ACH-000098	ACH-000098	0
ACH-000098	ACH-000099	1
ACH-000098	ACH-000100	0.9
ACH-000098	ACH-000102	0.888888889
ACH-000098	ACH-000103	0.888888889
ACH-000098	ACH-000107	1
ACH-000098	ACH-000109	0.692307692
ACH-000098	ACH-000111	0.875
ACH-000098	ACH-000114	0.625
ACH-000098	ACH-000115	0.928571429
ACH-000098	ACH-000117	0.785714286
ACH-000098	ACH-000121	0.857142857
ACH-000098	ACH-000129	0.9
ACH-000098	ACH-000132	0.8
ACH-000098	ACH-000138	0.941176471
ACH-000098	ACH-000139	0.928571429
ACH-000098	ACH-000142	0.7
ACH-000098	ACH-000144	0.75
ACH-000098	ACH-000145	0.571428571
ACH-000098	ACH-000147	0.75
ACH-000098	ACH-000148	0.75
ACH-000098	ACH-000149	0.923076923
ACH-000098	ACH-000159	0.916666667
ACH-000098	ACH-000161	0.882352941
ACH-000098	ACH-000171	0.842105263
ACH-000098	ACH-000174	0.8
ACH-000098	ACH-000176	0.666666667
ACH-000098	ACH-000181	0.888888889
ACH-000099	ACH-000001	0.866666667
ACH-000099	ACH-000007	0.846153846
ACH-000099	ACH-000008	1
ACH-000099	ACH-000009	0.9375
ACH-000099	ACH-000012	1
ACH-000099	ACH-000015	0.933333333
ACH-000099	ACH-000023	1
ACH-000099	ACH-000030	1
ACH-000099	ACH-000035	0.9375
ACH-000099	ACH-000040	1
ACH-000099	ACH-000042	0.882352941
ACH-000099	ACH-000047	1
ACH-000099	ACH-000052	1
ACH-000099	ACH-000055	1
ACH-000099	ACH-000062	1
ACH-000099	ACH-000067	1
ACH-000099	ACH-000078	0.857142857
ACH-000099	ACH-000082	1
ACH-000099	ACH-000087	1
ACH-000099	ACH-000092	0.777777778
ACH-000099	ACH-000094	0.933333333
ACH-000099	ACH-000098	1
ACH-000099	ACH-000099	0
ACH-000099	ACH-000100	1
ACH-000099	ACH-000102	1
ACH-000099	ACH-000103	1
ACH-000099	ACH-000107	1
ACH-000099	ACH-000109	0.928571429
ACH-000099	ACH-000111	1
ACH-000099	ACH-000114	1
ACH-000099	ACH-000115	1
ACH-000099	ACH-000117	1
ACH-000099	ACH-000121	0.923076923
ACH-000099	ACH-000129	1
ACH-000099	ACH-000132	1
ACH-000099	ACH-000138	0.857142857
ACH-000099	ACH-000139	1
ACH-000099	ACH-000142	1
ACH-000099	ACH-000144	0.916666667
ACH-000099	ACH-000145	1
ACH-000099	ACH-000147	0.857142857
ACH-000099	ACH-000148	1
ACH-000099	ACH-000149	0.909090909
ACH-000099	ACH-000159	1
ACH-000099	ACH-000161	0.9375
ACH-000099	ACH-000171	0.888888889
ACH-000099	ACH-000174	1
ACH-000099	ACH-000176	1
ACH-000099	ACH-000181	1
ACH-000100	ACH-000001	0.857142857
ACH-000100	ACH-000007	1
ACH-000100	ACH-000008	0.9
ACH-000100	ACH-000009	0.857142857
ACH-000100	ACH-000012	0.888888889
ACH-000100	ACH-000015	0.928571429
ACH-000100	ACH-000023	0.714285714
ACH-000100	ACH-000030	0.875
ACH-000100	ACH-000035	0.769230769
ACH-000100	ACH-000040	0.714285714
ACH-000100	ACH-000042	0.941176471
ACH-000100	ACH-000047	0.875
ACH-000100	ACH-000052	0.909090909
ACH-000100	ACH-000055	0.9
ACH-000100	ACH-000062	0.833333333
ACH-000100	ACH-000067	0.888888889
ACH-000100	ACH-000078	1
ACH-000100	ACH-000082	0.857142857
ACH-000100	ACH-000087	0.875
ACH-000100	ACH-000092	1
ACH-000100	ACH-000094	0.75
ACH-000100	ACH-000098	0.9
ACH-000100	ACH-000099	1
ACH-000100	ACH-000100	0
ACH-000100	ACH-000102	0.6
ACH-000100	ACH-000103	0.833333333
ACH-000100	ACH-000107	1
ACH-000100	ACH-000109	0.833333333
ACH-000100	ACH-000111	0.8
ACH-000100	ACH-000114	0.857142857
ACH-000100	ACH-000115	0.909090909
ACH-000100	ACH-000117	0.833333333
ACH-000100	ACH-000121	0.916666667
ACH-000100	ACH-000129	0.857142857
ACH-000100	ACH-000132	0.846153846
ACH-000100	ACH-000138	0.846153846
ACH-000100	ACH-000139	0.909090909
ACH-000100	ACH-000142	0.75
ACH-000100	ACH-000144	0.909090909
ACH-000100	ACH-000145	0.833333333
ACH-000100	ACH-000147	0.833333333
ACH-000100	ACH-000148	0.833333333
ACH-000100	ACH-000149	0.9
ACH-000100	ACH-000159	0.888888889
ACH-000100	ACH-000161	0.933333333
ACH-000100	ACH-000171	0.944444444
ACH-000100	ACH-000174	0.714285714
ACH-000100	ACH-000176	0.818181818
ACH-000100	ACH-000181	1
ACH-000102	ACH-000001	0.928571429
ACH-000102	ACH-000007	1
ACH-000102	ACH-000008	0.888888889
ACH-000102	ACH-000009	0.928571429
ACH-000102	ACH-000012	0.875
ACH-000102	ACH-000015	0.923076923
ACH-000102	ACH-000023	0.666666667
ACH-000102	ACH-000030	0.857142857
ACH-000102	ACH-000035	0.846153846
ACH-000102	ACH-000040	0.666666667
ACH-000102	ACH-000042	0.9375
ACH-000102	ACH-000047	0.857142857
ACH-000102	ACH-000052	0.9
ACH-000102	ACH-000055	0.888888889
ACH-000102	ACH-000062	0.8
ACH-000102	ACH-000067	0.875
ACH-000102	ACH-000078	1
ACH-000102	ACH-000082	0.928571429
ACH-000102	ACH-000087	0.857142857
ACH-000102	ACH-000092	1
ACH-000102	ACH-000094	0.923076923
ACH-000102	ACH-000098	0.888888889
ACH-000102	ACH-000099	1
ACH-000102	ACH-000100	0.6
ACH-000102	ACH-000102	0
ACH-000102	ACH-000103	0.8
ACH-000102	ACH-000107	1
ACH-000102	ACH-000109	0.818181818
ACH-000102	ACH-000111	0.75
ACH-000102	ACH-000114	0.833333333
ACH-000102	ACH-000115	0.9
ACH-000102	ACH-000117	0.916666667
ACH-000102	ACH-000121	0.909090909
ACH-000102	ACH-000129	0.833333333
ACH-000102	ACH-000132	0.923076923
ACH-000102	ACH-000138	0.833333333
ACH-000102	ACH-000139	0.9
ACH-000102	ACH-000142	0.875
ACH-000102	ACH-000144	0.9
ACH-000102	ACH-000145	0.8
ACH-000102	ACH-000147	0.8
ACH-000102	ACH-000148	0.8
ACH-000102	ACH-000149	0.888888889
ACH-000102	ACH-000159	0.875
ACH-000102	ACH-000161	0.928571429
ACH-000102	ACH-000171	0.941176471
ACH-000102	ACH-000174	0.857142857
ACH-000102	ACH-000176	0.909090909
ACH-000102	ACH-000181	1
ACH-000103	ACH-000001	0.846153846
ACH-000103	ACH-000007	1
ACH-000103	ACH-000008	1
ACH-000103	ACH-000009	0.928571429
ACH-000103	ACH-000012	0.714285714
ACH-000103	ACH-000015	0.833333333
ACH-000103	ACH-000023	0.666666667
ACH-000103	ACH-000030	0.666666667
ACH-000103	ACH-000035	0.846153846
ACH-000103	ACH-000040	0.857142857
ACH-000103	ACH-000042	0.785714286
ACH-000103	ACH-000047	0.666666667
ACH-000103	ACH-000052	0.9
ACH-000103	ACH-000055	0.888888889
ACH-000103	ACH-000062	0.8
ACH-000103	ACH-000067	0.875
ACH-000103	ACH-000078	1
ACH-000103	ACH-000082	0.75
ACH-000103	ACH-000087	0.857142857
ACH-000103	ACH-000092	1
ACH-000103	ACH-000094	0.923076923
ACH-000103	ACH-000098	0.888888889
ACH-000103	ACH-000099	1
ACH-000103	ACH-000100	0.833333333
ACH-000103	ACH-000102	0.8
ACH-000103	ACH-000103	0
ACH-000103	ACH-000107	1
ACH-000103	ACH-000109	0.916666667
ACH-000103	ACH-000111	0.75
ACH-000103	ACH-000114	0.833333333
ACH-000103	ACH-000115	0.777777778
ACH-000103	ACH-000117	0.818181818
ACH-000103	ACH-000121	0.909090909
ACH-000103	ACH-000129	0.833333333
ACH-000103	ACH-000132	0.833333333
ACH-000103	ACH-000138	0.727272727
ACH-000103	ACH-000139	1
ACH-000103	ACH-000142	0.875
ACH-000103	ACH-000144	0.9
ACH-000103	ACH-000145	0.8
ACH-000103	ACH-000147	0.8
ACH-000103	ACH-000148	0.5
ACH-000103	ACH-000149	1
ACH-000103	ACH-000159	1
ACH-000103	ACH-000161	0.846153846
ACH-000103	ACH-000171	0.941176471
ACH-000103	ACH-000174	0.857142857
ACH-000103	ACH-000176	0.909090909
ACH-000103	ACH-000181	1
ACH-000107	ACH-000001	1
ACH-000107	ACH-000007	0.923076923
ACH-000107	ACH-000008	0.9
ACH-000107	ACH-000009	0.933333333
ACH-000107	ACH-000012	1
ACH-000107	ACH-000015	1
ACH-000107	ACH-000023	0.875
ACH-000107	ACH-000030	1
ACH-000107	ACH-000035	1
ACH-000107	ACH-000040	1
ACH-000107	ACH-000042	0.875
ACH-000107	ACH-000047	1
ACH-000107	ACH-000052	1
ACH-000107	ACH-000055	0.9
ACH-000107	ACH-000062	1
ACH-000107	ACH-000067	1
ACH-000107	ACH-000078	1
ACH-000107	ACH-000082	1
ACH-000107	ACH-000087	1
ACH-000107	ACH-000092	1
ACH-000107	ACH-000094	0.928571429
ACH-000107	ACH-000098	1
ACH-000107	ACH-000099	1
ACH-000107	ACH-000100	1
ACH-000107	ACH-000102	1
ACH-000107	ACH-000103	1
ACH-000107	ACH-000107	0
ACH-000107	ACH-000109	1
ACH-000107	ACH-000111	1
ACH-000107	ACH-000114	0.857142857
ACH-000107	ACH-000115	1
ACH-000107	ACH-000117	0.923076923
ACH-000107	ACH-000121	1
ACH-000107	ACH-000129	1
ACH-000107	ACH-000132	1
ACH-000107	ACH-000138	0.928571429
ACH-000107	ACH-000139	0.8
ACH-000107	ACH-000142	0.888888889
ACH-000107	ACH-000144	1
ACH-000107	ACH-000145	1
ACH-000107	ACH-000147	1
ACH-000107	ACH-000148	1
ACH-000107	ACH-000149	1
ACH-000107	ACH-000159	1
ACH-000107	ACH-000161	0.933333333
ACH-000107	ACH-000171	1
ACH-000107	ACH-000174	0.875
ACH-000107	ACH-000176	1
ACH-000107	ACH-000181	1
ACH-000109	ACH-000001	0.842105263
ACH-000109	ACH-000007	0.75
ACH-000109	ACH-000008	0.692307692
ACH-000109	ACH-000009	0.842105263
ACH-000109	ACH-000012	0.857142857
ACH-000109	ACH-000015	0.833333333
ACH-000109	ACH-000023	0.846153846
ACH-000109	ACH-000030	0.846153846
ACH-000109	ACH-000035	0.625
ACH-000109	ACH-000040	0.75
ACH-000109	ACH-000042	0.8
ACH-000109	ACH-000047	0.928571429
ACH-000109	ACH-000052	0.8
ACH-000109	ACH-000055	0.692307692
ACH-000109	ACH-000062	0.916666667
ACH-000109	ACH-000067	0.769230769
ACH-000109	ACH-000078	1
ACH-000109	ACH-000082	0.777777778
ACH-000109	ACH-000087	0.846153846
ACH-000109	ACH-000092	0.857142857
ACH-000109	ACH-000094	0.894736842
ACH-000109	ACH-000098	0.692307692
ACH-000109	ACH-000099	0.928571429
ACH-000109	ACH-000100	0.833333333
ACH-000109	ACH-000102	0.818181818
ACH-000109	ACH-000103	0.916666667
ACH-000109	ACH-000107	1
ACH-000109	ACH-000109	0
ACH-000109	ACH-000111	0.909090909
ACH-000109	ACH-000114	0.727272727
ACH-000109	ACH-000115	0.941176471
ACH-000109	ACH-000117	0.75
ACH-000109	ACH-000121	0.8125
ACH-000109	ACH-000129	0.833333333
ACH-000109	ACH-000132	0.764705882
ACH-000109	ACH-000138	0.833333333
ACH-000109	ACH-000139	0.875
ACH-000109	ACH-000142	0.769230769
ACH-000109	ACH-000144	0.714285714
ACH-000109	ACH-000145	0.818181818
ACH-000109	ACH-000147	0.818181818
ACH-000109	ACH-000148	0.818181818
ACH-000109	ACH-000149	0.9375
ACH-000109	ACH-000159	0.857142857
ACH-000109	ACH-000161	0.842105263
ACH-000109	ACH-000171	0.529411765
ACH-000109	ACH-000174	0.846153846
ACH-000109	ACH-000176	0.538461538
ACH-000109	ACH-000181	0.916666667
ACH-000111	ACH-000001	0.923076923
ACH-000111	ACH-000007	1
ACH-000111	ACH-000008	1
ACH-000111	ACH-000009	0.923076923
ACH-000111	ACH-000012	0.857142857
ACH-000111	ACH-000015	0.916666667
ACH-000111	ACH-000023	0.833333333
ACH-000111	ACH-000030	0.833333333
ACH-000111	ACH-000035	0.923076923
ACH-000111	ACH-000040	0.833333333
ACH-000111	ACH-000042	0.933333333
ACH-000111	ACH-000047	0.833333333
ACH-000111	ACH-000052	0.888888889
ACH-000111	ACH-000055	0.875
ACH-000111	ACH-000062	0.75
ACH-000111	ACH-000067	0.857142857
ACH-000111	ACH-000078	1
ACH-000111	ACH-000082	0.923076923
ACH-000111	ACH-000087	0.833333333
ACH-000111	ACH-000092	1
ACH-000111	ACH-000094	0.916666667
ACH-000111	ACH-000098	0.875
ACH-000111	ACH-000099	1
ACH-000111	ACH-000100	0.8
ACH-000111	ACH-000102	0.75
ACH-000111	ACH-000103	0.75
ACH-000111	ACH-000107	1
ACH-000111	ACH-000109	0.909090909
ACH-000111	ACH-000111	0
ACH-000111	ACH-000114	0.8
ACH-000111	ACH-000115	0.75
ACH-000111	ACH-000117	0.909090909
ACH-000111	ACH-000121	0.777777778
ACH-000111	ACH-000129	1
ACH-000111	ACH-000132	0.916666667
ACH-000111	ACH-000138	0.818181818
ACH-000111	ACH-000139	1
ACH-000111	ACH-000142	0.857142857
ACH-000111	ACH-000144	0.888888889
ACH-000111	ACH-000145	0.75
ACH-000111	ACH-000147	0.75
ACH-000111	ACH-000148	0.75
ACH-000111	ACH-000149	1
ACH-000111	ACH-000159	1
ACH-000111	ACH-000161	0.923076923
ACH-000111	ACH-000171	0.9375
ACH-000111	ACH-000174	0.833333333
ACH-000111	ACH-000176	0.9
ACH-000111	ACH-000181	1
ACH-000114	ACH-000001	0.933333333
ACH-000114	ACH-000007	0.923076923
ACH-000114	ACH-000008	0.9
ACH-000114	ACH-000009	0.857142857
ACH-000114	ACH-000012	0.888888889
ACH-000114	ACH-000015	0.928571429
ACH-000114	ACH-000023	0.714285714
ACH-000114	ACH-000030	0.875
ACH-000114	ACH-000035	0.857142857
ACH-000114	ACH-000040	0.714285714
ACH-000114	ACH-000042	0.875
ACH-000114	ACH-000047	0.875
ACH-000114	ACH-000052	0.8
ACH-000114	ACH-000055	0.9
ACH-000114	ACH-000062	0.833333333
ACH-000114	ACH-000067	0.75
ACH-000114	ACH-000078	1
ACH-000114	ACH-000082	0.769230769
ACH-000114	ACH-000087	0.714285714
ACH-000114	ACH-000092	0.888888889
ACH-000114	ACH-000094	0.75
ACH-000114	ACH-000098	0.625
ACH-000114	ACH-000099	1
ACH-000114	ACH-000100	0.857142857
ACH-000114	ACH-000102	0.833333333
ACH-000114	ACH-000103	0.833333333
ACH-000114	ACH-000107	0.857142857
ACH-000114	ACH-000109	0.727272727
ACH-000114	ACH-000111	0.8
ACH-000114	ACH-000114	0
ACH-000114	ACH-000115	0.909090909
ACH-000114	ACH-000117	0.727272727
ACH-000114	ACH-000121	0.818181818
ACH-000114	ACH-000129	0.857142857
ACH-000114	ACH-000132	0.75
ACH-000114	ACH-000138	0.846153846
ACH-000114	ACH-000139	0.8
ACH-000114	ACH-000142	0.571428571
ACH-000114	ACH-000144	0.8
ACH-000114	ACH-000145	0.6
ACH-000114	ACH-000147	0.6
ACH-000114	ACH-000148	0.6
ACH-000114	ACH-000149	1
ACH-000114	ACH-000159	0.888888889
ACH-000114	ACH-000161	0.857142857
ACH-000114	ACH-000171	0.882352941
ACH-000114	ACH-000174	0.5
ACH-000114	ACH-000176	0.7
ACH-000114	ACH-000181	0.833333333
ACH-000115	ACH-000001	0.888888889
ACH-000115	ACH-000007	1
ACH-000115	ACH-000008	1
ACH-000115	ACH-000009	0.888888889
ACH-000115	ACH-000012	0.727272727
ACH-000115	ACH-000015	0.733333333
ACH-000115	ACH-000023	0.916666667
ACH-000115	ACH-000030	0.916666667
ACH-000115	ACH-000035	0.823529412
ACH-000115	ACH-000040	0.916666667
ACH-000115	ACH-000042	0.777777778
ACH-000115	ACH-000047	0.818181818
ACH-000115	ACH-000052	0.933333333
ACH-000115	ACH-000055	0.846153846
ACH-000115	ACH-000062	0.9
ACH-000115	ACH-000067	0.923076923
ACH-000115	ACH-000078	1
ACH-000115	ACH-000082	0.75
